molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL450771,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,18760.0,inactive
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,61350.0,inactive
CHEMBL139679,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,5.012,active
CHEMBL450771,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,18620.87,inactive
CHEMBL406861,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,4.467,active
CHEMBL1179,N[C@@H]1C[C@H]1c1ccccc1,19000.0,inactive
CHEMBL511601,N[C@]1(c2ccccc2)C[C@]1(F)c1ccccc1,20000.0,inactive
CHEMBL469024,N[C@H]1C[C@@]1(F)c1ccccc1,37000.0,inactive
CHEMBL500248,COc1ccc([C@@]2(F)C[C@H]2N)cc1OC,470000.0,inactive
CHEMBL468855,COc1ccc([C@@]2(F)C[C@@H]2N)cc1OC,230000.0,inactive
CHEMBL468854,COc1ccc([C@@]2(F)C[C@H]2N)cc1,18000.0,inactive
CHEMBL462630,COc1ccc([C@@]2(F)C[C@@H]2N)cc1,5100.0,intermediate
CHEMBL450413,Cc1ccc([C@@]2(F)C[C@H]2N)cc1,30000.0,inactive
CHEMBL468852,Cc1ccc([C@@]2(F)C[C@@H]2N)cc1,13000.0,inactive
CHEMBL446059,N[C@@H]1C[C@]1(F)c1ccc(C(F)(F)F)cc1,7100.0,intermediate
CHEMBL468597,N[C@H]1C[C@]1(F)c1ccc(C(F)(F)F)cc1,5400.0,intermediate
CHEMBL446771,N[C@@H]1C[C@]1(F)c1ccc(F)cc1,10000.0,inactive
CHEMBL447729,N[C@H]1C[C@]1(F)c1ccc(F)cc1,4900.0,intermediate
